Account Number,Account Name,Year,Week,Invoice Date,Invoice Number,Pick Up Date,Consignment No,Reference,Sender Company,Sender City,Sender Postcode,Receiver Company,Receiver City,Receiver Postcode,Origin,Destination,Payer,International/Domestic,Div/Prod Code,Rating Code 3,Rating Code 4,Dangerous Goods,Total Pieces,Billed Weight,Volume,Vol Wt Id,Declared Weight,Freight Amount,Automatic Warranty,Extended Warranty,Surcharge,GST,Total Amount
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/1/2023,VHU934154947,,Nivoda Limited,DONVALE,3111,GS D,SYDNEY,2000,MEL,SYD,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/3/2023,VHU332985662,,Nivoda Limited,DONVALE,3111,INTERNATIONAL D COMPANY,MELBOURNE,3000,MEL,MEL,S,D,D 75,,,N,1,2,0.0057,V,1,10.28,0,0,3.37,1.37,15.02
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU203841012,,Nivoda Limited,DONVALE,3111,BLACKBOX JLERS,CANNINGTON,6107,MEL,PTH,S,D,D 75,,,N,1,2,0.0057,V,1,28.28,0,0,9.28,3.76,41.32
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU217618695,,Nivoda Limited,DONVALE,3111,KURTEF,BROOKVALE,2100,MEL,SYD,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU217676718,,Nivoda Limited,DONVALE,3111,CULLEN J,KEW,3101,MEL,MEL,S,D,D 75,,,N,1,4,0.0137,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU380559188,,Nivoda Limited,DONVALE,3111,CLASS A JLERS,WALKERVILLE,5081,MEL,ADL,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU433992246,,Nivoda Limited,DONVALE,3111,EVERETTBROOKES JLERS,ADELAIDE,5000,MEL,ADL,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU459760324,,Nivoda Limited,DONVALE,3111,LA GRANDE F J,LIVERPOOL,2170,MEL,SYD,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU464584375,,Nivoda Limited,DONVALE,3111,NEW CREATIONS INDUSTRIES PTY L,MOUNT DRUITT,2770,MEL,SYD,S,D,D 75,,,N,1,2,0.0057,V,1,12.85,0,0,4.21,1.71,18.77
50002662,NIVODA AUSTRALIA PTY LTD,2024,11,8/12/2023,67038636,8/7/2023,VHU476231944,,Nivoda Limited,DONVALE,3111,GAXIS,OCEAN GROVE,3226,MEL,VC1,S,D,D 75,,,N,1,2,0.0057,V,1,18.85,0,0,4.21,2.31,25.37
